id,URL,Restaurant,Longitude,Latitude,Rating,Category,PriceLevel,City
ChIJUc3u4xb3aS4RNBZkSHrYRtk,https://maps.google.com/?cid=15656439174312236596,Layar Seafood & Ikan Bakar Pesanggrahan,106.7555698,-6.1955762,4.6,seafood_restaurant,MODERATE,Jakarta Barat
ChIJfXmi4E_3aS4RT203WSpGM5M,https://maps.google.com/?cid=10606898695087025487,Kampung Kecil Kedoya Puri Kembangan,106.7570235,-6.1804914,4.5,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJVVVVVSj4aS4RRwqlt5VPuAI,https://maps.google.com/?cid=195994088240384583,KFC Taman Semanan Indah,106.7251393,-6.1642137,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJdUQogi73aS4R2yiwsuVw_hA,https://maps.google.com/?cid=1224540280539064539,Ichisan Ramen,106.7838185,-6.1801185,4.5,ramen_restaurant,MODERATE,Jakarta Barat
ChIJG481aUr3aS4R4aLH_N9X2tk,https://maps.google.com/?cid=15697956070683550433,Michael's Garden Cafe,106.7346848,-6.1897866,4.8,restaurant,MODERATE,Jakarta Barat
ChIJ__JXBVr2aS4RoFaiwg498_s,https://maps.google.com/?cid=18154921656464856736,Waroeng SS Tanjung Duren,106.7832158,-6.1721254,4.4,indonesian_restaurant,INEXPENSIVE,Jakarta Barat
ChIJ93ptFyD3aS4Raz2T9lHki2Q,https://maps.google.com/?cid=7245135466235903339,McDonald's Kebon Jeruk,106.7691556,-6.1993111,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJCzh_0Nv3aS4R3xxHEKVQKAs,https://maps.google.com/?cid=803981203358555359,Ichisan Ramen Taman Ratu,106.7683471,-6.1696643,4.6,ramen_restaurant,MODERATE,Jakarta Barat
ChIJEwwrrXH3aS4RcBo0XDRfOnc,https://maps.google.com/?cid=8591283917652499056,McDonald's Puri Kembangan,106.738068,-6.18725,4.6,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJsf3cNZT3aS4RueoWCmDT7Xw,https://maps.google.com/?cid=9002083639623084729,Strawberry Cafe Greenville,106.7750602,-6.1691699,4.4,restaurant,MODERATE,Jakarta Barat
ChIJSWgc_Xf1aS4RJEJAAyoONJQ,https://maps.google.com/?cid=10679176190008246820,Talaga Sampireun Menteng,106.8407016,-6.1793363,4.4,indonesian_restaurant,EXPENSIVE,Jakarta Barat
ChIJEWUwBT0eai4RzXuvMnRvC4I,https://maps.google.com/?cid=9370705994531699661,Bandar Djakarta,106.8434155,-6.1225765,4.6,seafood_restaurant,MODERATE,Jakarta Barat
ChIJQYvLj7v1aS4RpABCmHw_fuw,https://maps.google.com/?cid=17041127844379492516,TanSu Kemayoran,106.8493247,-6.1608762,4.6,restaurant,INEXPENSIVE,Jakarta Barat
ChIJN1Pzxo31aS4R54gjEt4JP8U,https://maps.google.com/?cid=14213089798396283111,Ragusa Es Italia,106.8298953,-6.1697846,4.4,ice_cream_shop,MODERATE,Jakarta Barat
ChIJfRMs_in0aS4R2b7SZJn_YL0,https://maps.google.com/?cid=13646187905219215065,Nasi Goreng Kambing Kebon Sirih,106.825699,-6.1834608,4.4,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJT2oNzln2aS4RBLjwrOjKdps,https://maps.google.com/?cid=11202364223813367812,Pisang Goreng Madu Bu Nanik,106.7837425,-6.1747345,4.6,restaurant,MODERATE,Jakarta Barat
ChIJ2WQWE5H2aS4RqPYBV4OgywE,https://maps.google.com/?cid=129373500271097512,Bakso Mas Kumis,106.8017407,-6.1907364,4.5,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJmzRSGeD1aS4RELtI48vhrb8,https://maps.google.com/?cid=13811943898022984464,McDonald's Hayam Wuruk,106.819556,-6.16079,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJadVPFf8dai4RRM83ZusjgqM,https://maps.google.com/?cid=11782019069093859140,Caf̩ Batavia,106.8127579,-6.1344394,4.4,restaurant,EXPENSIVE,Jakarta Barat
ChIJ1Wl3jXX2aS4RpEv0m9j2cjo,https://maps.google.com/?cid=4211700011734682532,Angke Restaurant - Ketapang,106.8167709,-6.1599069,4.5,chinese_restaurant,EXPENSIVE,Jakarta Barat
ChIJT2oNzln2aS4RBLjwrOjKdps,https://maps.google.com/?cid=11202364223813367812,Pisang Goreng Madu Bu Nanik,106.7837425,-6.1747345,4.6,restaurant,MODERATE,Jakarta Barat
ChIJ-cmvgf73aS4R8VSUYBjmJwM,https://maps.google.com/?cid=227403298579436785,McDonald's,106.7627826,-6.1658674,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJGUxD69n3aS4RCgbkMhmVhLA,https://maps.google.com/?cid=12719455183061648906,Kampung Kecil Kosambi,106.7235642,-6.1673082,4.6,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJd14hsIj3aS4RswOGj6Htb18,https://maps.google.com/?cid=6876976434171478963,Talaga Sampireun - Puri,106.7282614,-6.168859,4.4,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJfXmi4E_3aS4RT203WSpGM5M,https://maps.google.com/?cid=10606898695087025487,Kampung Kecil Kedoya Puri Kembangan,106.7570235,-6.1804914,4.5,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJUc3u4xb3aS4RNBZkSHrYRtk,https://maps.google.com/?cid=15656439174312236596,Layar Seafood & Ikan Bakar Pesanggrahan,106.7555698,-6.1955762,4.6,seafood_restaurant,MODERATE,Jakarta Barat
ChIJdUQogi73aS4R2yiwsuVw_hA,https://maps.google.com/?cid=1224540280539064539,Ichisan Ramen,106.7838185,-6.1801185,4.5,ramen_restaurant,MODERATE,Jakarta Barat
ChIJVVVVVSj4aS4RRwqlt5VPuAI,https://maps.google.com/?cid=195994088240384583,KFC Taman Semanan Indah,106.7251393,-6.1642137,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
